Course,"Course Code","Pell Enrollment","Non-Pell Enrollment","Pell GPA","Non-Pell GPA","GPA Gap"
"Introduction To Psychology",PSY2201,404,455,2.54,2.82,0.28
"Introduction To Sociology",SOC2201,257,204,2.03,2.2,0.17
"Human Sexuality,  Relationship",PSY4455,382,277,2.81,2.96,0.15
"Theories of Learning",PSY4402,136,97,2.29,2.62,0.33
"Abnormal Psychology",PSY4150,295,172,2.79,2.92,0.14
"Multicultural Psychology",PSY3325,311,190,2.88,2.94,0.06
"Basic Developmental Psychology",PSY3305,262,195,2.91,3.08,0.17
"Race and Ethnic Relations",SOC3320,126,50,2.84,2.6,-0.24
"Mind Brain Behvr Intgrtd View",PSY2210,81,70,2.7,2.72,0.02
"Juvenile Delinquency",CRM3360,142,62,2.63,2.64,0.01
"Crime Criminalization Society",SOC3345,157,73,2.77,3,0.23
"Socialization,  Self and Socie",SOC4402,211,100,2.74,2.71,-0.03
"Adolescent Psychology",PSY3312,120,62,2.96,2.86,-0.1
"Social Strat and Inequality",SOC3309,214,98,3.3,3.13,-0.17
"Intro Soc Work and Soc Welfare",SW2201,27,20,3.3,3.24,-0.06
"Program Evaluation Lab",PSY4430A,54,46,2.67,2.52,-0.14
"Statistics For Psychology Act",PSY3307A,163,104,3.02,2.82,-0.2
"Gender and Sexuality",SOC3328,181,81,3.14,2.92,-0.22
"Contemp Treat of Law Violators",CRM3318,36,18,2.13,2.12,-0.02
"Experimental Psychology",PSY4433,91,70,3.07,3.09,0.02
"Qual Mthds For Soclgy Lab",SOC4110L,34,17,3.15,2.88,-0.27
"Classic Sociological Theory",SOC3305,232,103,2.82,2.69,-0.13
"Statistics For Psychology",PSY3307,163,104,2.84,2.75,-0.09
"Statistics For Sociology",SOC3307,135,54,3.15,2.97,-0.18
"Experimental Psychology Act",PSY4433A,91,70,3.09,3.1,0.01
"Cognitive Processes",PSY3334,200,146,2.74,2.78,0.04
"Social Psychology",PSY4401,278,197,3.01,3.19,0.18
"Qualitative Methods For Soc",SOC4110,34,17,3.16,2.88,-0.27
"Spec Topic For Ud Students",PSY4990,25,22,3.32,3.32,-0
"Social Work Practice",SW3301,41,17,3.55,3.02,-0.53
"Social Work Pract Lab",SW3301L,41,17,3.55,3.02,-0.53
"Organizational Psychology",PSY3332,114,76,3.29,3.3,0.01
"Program Evaluation",PSY4430,54,46,2.57,2.51,-0.06
"Psychology of Identity",PSY3321,32,16,2.61,2.86,0.24
"Statistics For Sociology Lab",SOC3307L,135,54,3.35,3.13,-0.21
"Senior Seminar",PSY4611,90,84,3.58,3.56,-0.02
"Family Violence",SW3322,78,35,3.26,3.42,0.16
"Basic Counseling Skills",PSY4170,28,20,2.83,3.42,0.58
"Health Psychology",PSY3326,210,158,2.92,3.02,0.1
"Contemp Sociology Theory",SOC3306,115,62,3.1,3.08,-0.02
"Child Psychology For Educators",PSY2206,44,31,2.67,2.82,0.15
"Research Methods In Sociology",SOC2205,193,89,3.21,3.05,-0.16
"Soc Welfare Policy Issues",SW3310,69,25,3.29,3.4,0.12
"Soc Inequality Sport and Body",SOC4451,74,40,3.21,3.06,-0.15
"Probation and Parole",CRM3320,112,44,3.04,2.92,-0.12
"Senior Symposium",SOC4611,106,43,3.04,2.96,-0.08
"Qualitative Methods In Psych",PSY4404,29,18,3.83,3.89,0.06
"Qualitative Mthds In Psych Act",PSY4404A,29,18,3.83,3.89,0.06
"Child Psych,  Early Childhood",PSY3310,72,41,3,3.11,0.12
"Technology and Society",SOC4440,17,14,2.33,1.9,-0.44
"Research Methods In Psychology",PSY2204,98,84,2.6,2.62,0.02
"Quantitative Mthds Sociology",SOC4100,22,11,2.8,2.79,-0.02
"Quantitative Mthds Soclgy Lab",SOC4100L,22,11,2.8,2.79,-0.02
"Community and Urban Sociology",SOC3325,80,32,3.09,2.95,-0.14
"Spec Study For Ud Students",PSY4000,32,27,3.98,3.94,-0.04
"Psychology of Personality",PSY4403,24,25,2.88,2.93,0.05
"Theories of Counseling",PSY4121,33,16,3.18,2.77,-0.41
"Latina and O Sociology",SOC3313,37,10,3.23,2.83,-0.4
"Careers In Psychology",PSY2222,33,15,4,3.98,-0.02
Internship,SW4411,33,21,3.98,3.92,-0.06

