"Data Download for In Which Courses Do They Struggle?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/where-do-they-struggle
"CSV created on:  ","Sun, Dec 12, 2021 5:02 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","By Department","Psychology and Sociology","2020 - Fall"

"Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students"
"Year Term","Course Code","Course Title",Enrollment,"Non-passing Rate",Impact
"2020 - Fall",PSY2201,"Introduction To Psychology",544,12%,64
"2020 - Fall",PSY2210,"Mind Brain Behvr Intgrtd View",451,6%,29
"2020 - Fall",SOC2201,"Introduction To Sociology",350,8%,28
"2020 - Fall",SOC3309,"Social Strat and Inequality",160,16%,25
"2020 - Fall",PSY4150,"Abnormal Psychology",306,8%,24
"2020 - Fall",PSY3305,"Basic Developmental Psychology",229,9%,21
"2020 - Fall",SOC3307L,"Statistics For Sociology Lab",186,11%,20
"2020 - Fall",SW2201,"Intro Soc Work and Soc Welfare",128,14%,18
"2020 - Fall",SOC3307,"Statistics For Sociology",187,10%,18
"2020 - Fall",SOC3305,"Classic Sociological Theory",295,6%,18
"2020 - Fall",SOC2205,"Research Methods In Sociology",262,6%,17
"2020 - Fall",PSY3325,"Multicultural Psychology",293,6%,17
"2020 - Fall",PSY3307,"Statistics For Psychology",163,10%,16
"2020 - Fall",PSY3307A,"Statistics For Psychology Act",163,9%,15
"2020 - Fall",CRM3390,"Media and Crime",115,12%,14
"2020 - Fall",SOC4451,"Soc Inequality Sport and Body",111,12%,13
"2020 - Fall",PSY4170,"Basic Counseling Skills",193,6%,12
"2020 - Fall",PSY3334,"Cognitive Processes",115,10%,11
"2020 - Fall",PSY4433A,"Experimental Psychology Act",189,6%,11
"2020 - Fall",PSY4433,"Experimental Psychology",189,6%,11
"2020 - Fall",PSY3326,"Health Psychology",228,5%,11
"2020 - Fall",CRM3320,"Probation and Parole",68,15%,10
"2020 - Fall",PSY4455,"Human Sexuality,  Relationship",235,4%,10
"2020 - Fall",SOC3314,"Black Sociology",60,15%,9
"2020 - Fall",SOC3345,"Crime Criminalization Society",114,8%,9
"2020 - Fall",PSY3335,"Memory and Amnesia",114,8%,9
"2020 - Fall",CRM2201,"Introduction To Criminology",210,4%,9
"2020 - Fall",SOC3321,"Sociology of The Family",52,15%,8
"2020 - Fall",PSY4404A,"Qualitative Mthds In Psych Act",71,11%,8
"2020 - Fall",PSY4404,"Qualitative Methods In Psych",71,11%,8
"2020 - Fall",SW3310,"Soc Welfare Policy Issues",111,7%,8
"2020 - Fall",PSY2204,"Research Methods In Psychology",125,6%,8
"2020 - Fall",SW3322,"Family Violence",129,6%,8
"2020 - Fall",PSY3310,"Child Psych,  Early Childhood",174,5%,8
"2020 - Fall",SOC4465,"Impact Colonization On Hawaii",36,19%,7
"2020 - Fall",SOC3360,"Sociology of Education",48,15%,7
"2020 - Fall",CRM3360,"Juvenile Delinquency",50,14%,7
"2020 - Fall",PSY2222,"Careers In Psychology",180,4%,7
"2020 - Fall",CRM3350,"Crm Theory",41,15%,6
"2020 - Fall",SW4440,"Human Rights",48,13%,6
"2020 - Fall",PSY4401,"Social Psychology",115,5%,6
"2020 - Fall",PSY3312,"Adolescent Psychology",163,4%,6
"2020 - Fall",CRM3318,"Contemp Treat of Law Violators",49,10%,5
"2020 - Fall",CRM3319,Policing,67,7%,5
"2020 - Fall",SOC3320,"Race and Ethnic Relations",113,4%,4
"2020 - Fall",PSY3322,"Psychology of Women",115,3%,4
"2020 - Fall",SOC3313,"Latina and O Sociology",118,3%,4
"2020 - Fall",SOC3306,"Contemp Sociology Theory",128,3%,4
"2020 - Fall",SOC3328,"Gender and Sexuality",156,3%,4
"2020 - Fall",PSY4611,"Senior Seminar",200,2%,4
"2020 - Fall",CRM2205,"Rsrch Methods In Criminology",42,7%,3
"2020 - Fall",SOC4100,"Quantitative Mthds Sociology",45,7%,3
"2020 - Fall",SOC4100L,"Quantitative Mthds Soclgy Lab",45,7%,3
"2020 - Fall",CRM3380,"Political Violence",47,6%,3
"2020 - Fall",SOC4110L,"Qual Mthds For Soclgy Lab",66,5%,3
"2020 - Fall",SOC4110,"Qualitative Methods For Soc",66,5%,3
"2020 - Fall",PSY4444,"Survey Research",71,4%,3
"2020 - Fall",SOC4611,"Senior Symposium",94,3%,3
"2020 - Fall",SOC3350,"Immigration and Migration",116,3%,3
"2020 - Fall",PSY3314,"Hr In Organizations",25,8%,2
"2020 - Fall",PSY4444A,"Survey Research Act",71,3%,2
"2020 - Fall",SOC3325,"Community and Urban Sociology",95,2%,2
"2020 - Fall",CRM3306A,"Crime Analysis Activity",24,4%,1
"2020 - Fall",CRM3306,"Crime Analysis",24,4%,1
"2020 - Fall",CRM4611,"Senior Symposium",38,3%,1
"2020 - Fall",PSY4250,"Community Psychology",48,2%,1
"2020 - Fall",SW4411,Internship,55,2%,1
"2020 - Fall",SOC4402,"Socialization,  Self and Socie",84,1%,1
"2020 - Fall",PSY3332,"Organizational Psychology",144,1%,1

