"Data Download for In Which Courses Do They Struggle?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/where-do-they-struggle
"CSV created on:  ","Sun, Dec 12, 2021 5:03 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","By Department","Psychology and Sociology","2017 - Fall"

"Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students"
"Year Term","Course Code","Course Title",Enrollment,"Non-passing Rate",Impact
"2017 - Fall",PSY201,"General Psychology",481,18%,86
"2017 - Fall",PSY210,"Mind, Brain, and Behavior",182,14%,25
"2017 - Fall",SOC201,"Principles of Sociology",241,8%,20
"2017 - Fall",PSY326,"Health Psychology",190,6%,12
"2017 - Fall",PSY455,"Human Sexual Behav,  Relatnshi",317,3%,10
"2017 - Fall",PSY334,"Cognitive Processes",48,17%,8
"2017 - Fall",PSY202,"Principles of Psychology I",89,8%,7
"2017 - Fall",SOC302,Criminology,47,13%,6
"2017 - Fall",SOC328,"Gender and Sexuality",52,12%,6
"2017 - Fall",SOC202,"Principles of Sociology",55,11%,6
"2017 - Fall",SOC301,"Contemporary Social Problems",90,7%,6
"2017 - Fall",SOC444,"Survey Research",20,25%,5
"2017 - Fall",SOC444A,"Survey Research Activity",20,25%,5
"2017 - Fall",PSY460,"Sensation and Perception",41,12%,5
"2017 - Fall",SOC401,"Urban Sociology",47,9%,4
"2017 - Fall",SOC309,"Social Stratificationand Inequ",48,8%,4
"2017 - Fall",PSY415,"Abnormal Psychology",46,7%,3
"2017 - Fall",SOC305,"Classical Sociological Theory",47,6%,3
"2017 - Fall",PSY307,"Statistics For The Social Scie",48,6%,3
"2017 - Fall",SW318,"Treatment of Law Violators",48,6%,3
"2017 - Fall",PSY307A,"Statistics For Social Sci Act",48,6%,3
"2017 - Fall",SW301,"Social Work Practice",25,8%,2
"2017 - Fall",SOC498,"Senior Seminar",26,8%,2
"2017 - Fall",SOC402,"Socialization,  Self and Socie",48,4%,2
"2017 - Fall",PSY332,"Industrial and Organizatio Psy",48,4%,2
"2017 - Fall",PSY322,"Psychology of Women",48,4%,2
"2017 - Fall",PSY305,"Basic Developmental Psychology",48,4%,2
"2017 - Fall",SOC498S,"Senior Seminar Service Lrng",18,6%,1
"2017 - Fall",SOC204,"Research Methods In Sociolgy I",25,4%,1
"2017 - Fall",PSY312,"Adolescent Psychology",46,2%,1
"2017 - Fall",SOC323,"Sociology of Minority Commun",47,2%,1
"2017 - Fall",SOC307,"Statistics For The Social Sci",48,2%,1
"2017 - Fall",PSY335,"Memory and Amnesia",48,2%,1
"2017 - Fall",SOC307A,"Statistics For Social Sci Act",48,2%,1
"2017 - Fall",PSY204,"Research Methods In Psychology",49,2%,1
"2017 - Fall",PSY325,"Multicultural Psychology",65,2%,1

